"","ID","ecs","tcr","rcp","pulse","cool","term","start","theta","alpha","delta","prob"
"3047",3047,65,33,"RCP3PD",40,5,2600,2100,21,0.00356,0.05,0.01
"3048",3048,13,17,"RCP6",80,24,2300,2025,19,0.00553,0.06,0.06
"3049",3049,42,16,"RCP6",50,13,2300,2100,8,0.00233,0.02,0.1
"3050",3050,37,34,"RCP45",50,31,2400,2075,17,0.00455,0,0.06
"3051",3051,28,35,"RCP45",2,1,2300,2050,17,0.00237,0.03,0.03
"3052",3052,38,17,"RCP3PD",50,39,2600,2100,15,0.01875,0.01,0
"3053",3053,27,9,"RCP85",20,40,2600,2100,27,0.00637,0.03,0.01
"3054",3054,20,22,"RCP6",80,12,2600,2100,12,0.00687,0.03,0.08
"3055",3055,63,12,"RCP6",20,28,2600,2050,14,0.00408,0.04,0.01
"3056",3056,22,14,"RCP85",70,16,2500,2100,10,0.00304,0.05,0.1
"3057",3057,25,15,"RCP85",60,23,2400,2050,14,0.0152,0,0.1
"3058",3058,35,16,"RCP85",20,7,2400,2075,15,0.00492,0.01,0.01
"3059",3059,35,21,"RCP3PD",50,8,2600,2025,17,0.00368,0.07,0.08
"3060",3060,28,17,"RCP45",70,30,2600,2075,10,0.00614,0.01,0
"3061",3061,26,16,"RCP3PD",2,6,2300,2025,12,0.00512,0.03,0.04
"3062",3062,47,28,"RCP45",10,6,2300,2050,12,0.00286,0.04,0.09
"3063",3063,72,22,"RCP6",30,34,2400,2050,23,0.00393,0.01,0.01
"3064",3064,29,22,"RCP45",2,19,2600,2025,18,0.01637,0.06,0.04
"3065",3065,17,21,"RCP85",80,24,2500,2050,11,0.01085,0.03,0.06
"3066",3066,41,34,"RCP3PD",90,6,2300,2050,16,0.00967,0.05,0.01
"3067",3067,25,9,"RCP45",20,22,2500,2075,23,0.00454,0.04,0.1
"3068",3068,70,23,"RCP45",50,25,2300,2100,54,0.00519,0.07,0.02
"3069",3069,23,9,"RCP6",60,23,2300,2100,14,0.01331,0.05,0.07
"3070",3070,25,14,"RCP6",2,20,2400,2100,11,0.00912,0.01,0.04
"3071",3071,32,26,"RCP85",70,25,2400,2050,19,0.00228,0.05,0.04
"3072",3072,36,10,"RCP6",2,27,2300,2100,9,0.00643,0.01,0.08
"3073",3073,22,25,"RCP3PD",70,15,2400,2100,14,0.00554,0,0.06
"3074",3074,14,12,"RCP3PD",50,28,2600,2075,27,0.00457,0.01,0.04
"3075",3075,38,18,"RCP6",2,36,2300,2075,10,0.00311,0.05,0.08
"3076",3076,20,16,"RCP3PD",80,19,2300,2050,17,0.00581,0.03,0.02
"3077",3077,91,18,"RCP85",100,39,2400,2075,15,0.00601,0.05,0.07
"3078",3078,53,19,"RCP6",100,29,2400,2050,15,0.01077,0,0.01
"3079",3079,43,20,"RCP3PD",30,0,2500,2100,18,0.0032,0,0.03
"3080",3080,49,22,"RCP85",2,25,2400,2100,21,0.02332,0.07,0.04
"3081",3081,17,21,"RCP6",100,38,2500,2025,23,0.00375,0.07,0.06
"3082",3082,25,31,"RCP6",30,20,2300,2050,16,0.01044,0,0.02
"3083",3083,28,29,"RCP85",50,13,2400,2100,8,0.00467,0,0.03
"3084",3084,31,30,"RCP3PD",90,22,2600,2050,37,0.00348,0.05,0
"3085",3085,18,23,"RCP6",2,11,2600,2100,18,0.00889,0.07,0
"3086",3086,32,27,"RCP3PD",60,2,2400,2050,20,0.01724,0.02,0.02
"3087",3087,22,11,"RCP3PD",70,24,2400,2100,9,0.00728,0.02,0
"3088",3088,21,22,"RCP85",60,11,2600,2100,42,0.00477,0.03,0.02
"3089",3089,47,20,"RCP45",2,1,2400,2025,19,0.0086,0.07,0.1
"3090",3090,65,18,"RCP45",50,16,2400,2075,14,0.00824,0.04,0.07
"3091",3091,42,33,"RCP3PD",30,30,2600,2050,15,0.0046,0.05,0
"3092",3092,13,12,"RCP45",40,4,2500,2075,23,0.00332,0.07,0.01
"3093",3093,49,24,"RCP6",80,34,2300,2050,17,0.00922,0.03,0.02
"3094",3094,23,21,"RCP45",20,16,2300,2075,21,0.00609,0.04,0.04
"3095",3095,9,50,"RCP3PD",100,27,2400,2025,23,0.0037,0.01,0.06
"3096",3096,14,20,"RCP85",70,3,2500,2100,7,0.00354,0,0.04
"3097",3097,19,12,"RCP3PD",10,5,2500,2100,28,0.00608,0.03,0.08
"3098",3098,32,27,"RCP85",70,16,2500,2100,18,0.00635,0.05,0.09
"3099",3099,48,15,"RCP85",100,2,2600,2050,20,0.00774,0.01,0.05
"3100",3100,69,35,"RCP85",30,12,2300,2075,15,0.0106,0.03,0.03
"3101",3101,28,21,"RCP6",20,22,2300,2025,15,0.00907,0,0.05
"3102",3102,46,47,"RCP45",50,36,2500,2100,13,0.00772,0.01,0
"3103",3103,68,17,"RCP6",80,28,2400,2025,12,0.01234,0,0.1
"3104",3104,38,14,"RCP45",60,32,2600,2100,14,0.00277,0.02,0.02
"3105",3105,22,15,"RCP85",20,1,2600,2025,11,0.00265,0.07,0.01
"3106",3106,19,20,"RCP45",60,27,2500,2075,17,0.00387,0.02,0.03
"3107",3107,48,19,"RCP45",40,33,2400,2100,8,0.01315,0.05,0.05
"3108",3108,36,16,"RCP45",40,1,2500,2050,16,0.00469,0.01,0.1
"3109",3109,72,19,"RCP45",80,34,2400,2025,8,0.00272,0.02,0.1
"3110",3110,71,9,"RCP6",30,14,2600,2100,15,0.02082,0,0.06
"3111",3111,26,22,"RCP85",60,18,2600,2075,9,0.00541,0.03,0
"3112",3112,52,30,"RCP3PD",50,11,2300,2050,13,0.00262,0.01,0.02
"3113",3113,27,35,"RCP3PD",20,22,2300,2100,25,0.01383,0.05,0
"3114",3114,33,15,"RCP85",10,7,2400,2100,27,0.01136,0,0.07
"3115",3115,14,16,"RCP45",50,32,2400,2025,15,0.00197,0.01,0.09
"3116",3116,88,32,"RCP6",20,39,2400,2100,17,0.0032,0.03,0.01
"3117",3117,36,22,"RCP3PD",30,37,2500,2025,23,0.00628,0,0.01
"3118",3118,42,15,"RCP3PD",20,29,2300,2050,18,0.00645,0.03,0.03
"3119",3119,28,21,"RCP85",30,33,2300,2075,16,0.00551,0.05,0.05
"3120",3120,26,44,"RCP85",2,37,2500,2075,20,0.01187,0.05,0.02
"3121",3121,30,26,"RCP6",90,25,2400,2025,14,0.00357,0.03,0.1
"3122",3122,20,28,"RCP45",40,36,2600,2100,9,0.00326,0,0.03
"3123",3123,26,56,"RCP45",80,5,2500,2050,7,0.00206,0.06,0.05
"3124",3124,27,28,"RCP6",60,32,2600,2075,28,0.00993,0.03,0.02
"3125",3125,30,17,"RCP45",70,36,2300,2100,13,0.00472,0.01,0.04
"3126",3126,42,23,"RCP45",20,11,2500,2075,12,0.01296,0,0.09
"3127",3127,33,11,"RCP85",10,36,2300,2050,18,0.01388,0.07,0
"3128",3128,20,27,"RCP85",90,27,2400,2050,16,0.01364,0.04,0
"3129",3129,27,12,"RCP6",20,25,2300,2075,11,0.01559,0.05,0.08
"3130",3130,30,20,"RCP85",100,39,2300,2100,16,0.01374,0.03,0.01
"3131",3131,47,16,"RCP3PD",100,32,2300,2100,22,0.00382,0.04,0.02
"3132",3132,67,15,"RCP6",40,22,2400,2100,10,0.0039,0.05,0.07
"3133",3133,38,16,"RCP3PD",50,25,2400,2075,8,0.00322,0,0.02
"3134",3134,24,39,"RCP3PD",70,6,2300,2050,11,0.00543,0.07,0.03
"3135",3135,49,16,"RCP3PD",80,1,2300,2075,20,0.00292,0.07,0.07
"3136",3136,54,32,"RCP85",20,25,2300,2050,30,0.00634,0.03,0.07
"3137",3137,41,12,"RCP85",2,22,2500,2025,27,0.00755,0.06,0.04
"3138",3138,26,24,"RCP3PD",20,29,2300,2050,10,0.00535,0,0.1
"3139",3139,30,15,"RCP6",40,1,2600,2075,15,0.00842,0.07,0.1
"3140",3140,35,27,"RCP45",100,15,2400,2025,12,0.01655,0.07,0.08
"3141",3141,43,21,"RCP6",90,16,2600,2075,32,0.00363,0.06,0.07
"3142",3142,36,21,"RCP45",80,14,2600,2025,13,0.00825,0.03,0.03
"3143",3143,38,15,"RCP3PD",70,6,2500,2075,15,0.00592,0,0.09
"3144",3144,81,19,"RCP3PD",40,38,2500,2025,22,9e-04,0.03,0.1
"3145",3145,34,19,"RCP3PD",30,27,2300,2100,32,0.02086,0.06,0.1
"3146",3146,43,18,"RCP6",2,36,2300,2100,9,0.00971,0.02,0.05
"3147",3147,43,16,"RCP3PD",2,8,2500,2025,16,0.00424,0.07,0.03
"3148",3148,51,39,"RCP45",10,1,2600,2075,17,0.01206,0.01,0.06
"3149",3149,58,17,"RCP6",40,9,2400,2050,10,0.01161,0.04,0.01
"3150",3150,65,17,"RCP3PD",50,17,2300,2100,12,0.00589,0,0.07
"3151",3151,67,10,"RCP3PD",50,19,2600,2075,17,0.00422,0.04,0.03
"3152",3152,52,29,"RCP6",90,12,2600,2075,10,0.01269,0.07,0.03
"3153",3153,15,24,"RCP45",80,12,2600,2050,13,0.00582,0.01,0.08
"3154",3154,41,14,"RCP85",70,25,2400,2075,17,0.00272,0.02,0
"3155",3155,28,22,"RCP85",60,26,2500,2025,11,0.00529,0.04,0.03
"3156",3156,21,14,"RCP85",90,24,2400,2100,13,0.00743,0.02,0.1
"3157",3157,22,18,"RCP3PD",2,40,2500,2075,10,0.00272,0,0.05
"3158",3158,11,38,"RCP45",2,14,2400,2100,11,0.00322,0,0.09
"3159",3159,40,10,"RCP6",70,14,2400,2025,10,0.00485,0.02,0
"3160",3160,28,24,"RCP6",70,8,2600,2075,11,0.03583,0.04,0.04
"3161",3161,21,12,"RCP85",70,5,2500,2100,14,0.00223,0.04,0.07
"3162",3162,15,27,"RCP85",50,36,2400,2100,17,0.00528,0.06,0.08
"3163",3163,55,28,"RCP45",90,14,2400,2075,12,0.01012,0.07,0.06
"3164",3164,18,16,"RCP6",20,30,2600,2075,10,0.00453,0.04,0.01
"3165",3165,23,27,"RCP3PD",90,39,2500,2100,12,0.00318,0.05,0.06
"3166",3166,92,22,"RCP6",70,19,2300,2075,15,0.00878,0.06,0.02
"3167",3167,13,27,"RCP6",90,9,2400,2075,10,0.01164,0.04,0.05
"3168",3168,34,26,"RCP3PD",100,28,2500,2050,7,0.00404,0.06,0
"3169",3169,50,19,"RCP85",10,1,2300,2025,9,0.00412,0.05,0.04
"3170",3170,29,23,"RCP45",60,7,2300,2075,18,0.00429,0.04,0.08
"3171",3171,37,40,"RCP6",50,10,2300,2100,18,0.00123,0.07,0.05
"3172",3172,14,9,"RCP6",60,24,2300,2075,14,0.0092,0.06,0.1
"3173",3173,51,14,"RCP6",50,19,2400,2050,13,0.00367,0.05,0.1
"3174",3174,32,19,"RCP85",80,4,2600,2050,6,0.00611,0.06,0.01
"3175",3175,56,20,"RCP6",60,10,2400,2025,23,0.00644,0.05,0.04
"3176",3176,54,22,"RCP85",100,15,2500,2025,17,0.01294,0.06,0.1
"3177",3177,39,7,"RCP45",10,3,2400,2100,34,0.00071,0.04,0.05
"3178",3178,24,10,"RCP3PD",70,18,2300,2050,8,0.00813,0.02,0
"3179",3179,52,16,"RCP3PD",90,5,2600,2025,9,0.00221,0.02,0.06
"3180",3180,43,20,"RCP3PD",60,6,2600,2025,11,0.00619,0.02,0.07
"3181",3181,50,13,"RCP85",90,5,2400,2100,13,0.00341,0.06,0.02
"3182",3182,46,24,"RCP45",100,5,2500,2025,17,0.00294,0,0.01
"3183",3183,33,12,"RCP85",20,1,2300,2050,25,0.00449,0.04,0.09
"3184",3184,86,33,"RCP3PD",70,21,2400,2075,6,0.01107,0.03,0.01
"3185",3185,56,10,"RCP6",100,15,2300,2050,12,0.00724,0.03,0
"3186",3186,29,20,"RCP3PD",40,15,2300,2075,28,0.01136,0.04,0.07
"3187",3187,26,24,"RCP45",90,33,2500,2100,12,0.00465,0.02,0.04
"3188",3188,43,19,"RCP6",100,6,2500,2100,20,0.00731,0.02,0.08
"3189",3189,16,19,"RCP3PD",90,17,2300,2050,16,0.01168,0.01,0.07
"3190",3190,17,25,"RCP45",70,40,2500,2050,11,0.00385,0.04,0.06
"3191",3191,22,8,"RCP45",60,38,2400,2050,17,0.0054,0.04,0.01
"3192",3192,56,10,"RCP85",80,30,2400,2025,6,0.01031,0.01,0.09
"3193",3193,37,22,"RCP6",80,18,2400,2100,25,0.02076,0.04,0.02
"3194",3194,24,18,"RCP85",60,19,2500,2075,36,0.01691,0.05,0.05
"3195",3195,28,35,"RCP6",2,2,2500,2100,18,0.00579,0.01,0.01
"3196",3196,30,25,"RCP6",100,4,2600,2050,22,0.00415,0.05,0.02
"3197",3197,38,21,"RCP45",60,6,2600,2100,14,0.00828,0.06,0.08
"3198",3198,11,17,"RCP3PD",40,12,2300,2050,26,0.00955,0.06,0.07
"3199",3199,23,18,"RCP6",70,6,2400,2075,11,0.00589,0.06,0.03
"3200",3200,75,8,"RCP3PD",20,12,2600,2025,23,0.00866,0.04,0.09
"3201",3201,15,23,"RCP85",40,4,2500,2100,6,0.00242,0.03,0.01
"3202",3202,31,37,"RCP6",90,0,2300,2050,11,0.01022,0.01,0.04
"3203",3203,48,16,"RCP85",100,16,2500,2025,12,0.00779,0.07,0.01
"3204",3204,26,20,"RCP85",100,16,2600,2025,7,0.00438,0.04,0.06
"3205",3205,10,19,"RCP6",70,25,2600,2025,20,0.00775,0,0.1
"3206",3206,20,14,"RCP6",80,17,2300,2050,14,0.00303,0.02,0.03
"3207",3207,36,13,"RCP3PD",40,39,2500,2075,25,0.00737,0.06,0.1
"3208",3208,18,16,"RCP45",70,15,2600,2050,12,0.00437,0.02,0.02
"3209",3209,10,11,"RCP6",30,1,2300,2075,29,0.01026,0.03,0.07
"3210",3210,17,11,"RCP45",90,17,2500,2050,12,0.00408,0.01,0.06
"3211",3211,24,16,"RCP3PD",20,12,2600,2075,8,0.00359,0,0.09
"3212",3212,28,39,"RCP45",70,23,2400,2075,12,0.00184,0.04,0.08
"3213",3213,11,37,"RCP45",20,37,2300,2025,40,0.00426,0.02,0.1
"3214",3214,24,14,"RCP6",10,7,2300,2050,13,0.00916,0.02,0.03
"3215",3215,28,19,"RCP3PD",30,34,2600,2100,7,0.01016,0.04,0.07
"3216",3216,25,21,"RCP45",50,14,2600,2050,10,0.00451,0.01,0.1
"3217",3217,34,23,"RCP3PD",60,15,2500,2075,39,0.00668,0.03,0.1
"3218",3218,29,15,"RCP3PD",20,40,2300,2050,14,0.00452,0.02,0.04
"3219",3219,11,16,"RCP85",80,35,2400,2050,6,0.00625,0.07,0
"3220",3220,42,9,"RCP6",50,13,2500,2025,17,0.00707,0.01,0.04
"3221",3221,16,21,"RCP85",20,14,2500,2025,17,0.00394,0.07,0.01
"3222",3222,25,31,"RCP6",10,22,2400,2100,13,0.00182,0.04,0.01
"3223",3223,15,36,"RCP85",40,26,2300,2100,23,0.01256,0.06,0.07
"3224",3224,18,16,"RCP6",100,35,2400,2075,8,0.0028,0.05,0
"3225",3225,41,12,"RCP45",60,35,2500,2075,15,0.04197,0.06,0.02
"3226",3226,24,15,"RCP3PD",90,19,2500,2025,15,0.01456,0.03,0.07
"3227",3227,46,20,"RCP6",20,21,2500,2100,13,0.00871,0.05,0.02
"3228",3228,37,25,"RCP45",30,31,2600,2100,13,0.00533,0.02,0.03
"3229",3229,37,14,"RCP6",60,27,2500,2075,27,0.00911,0.07,0.05
"3230",3230,38,13,"RCP45",20,11,2500,2100,9,0.00519,0.07,0.05
"3231",3231,67,25,"RCP45",40,36,2500,2025,9,0.00633,0.06,0.07
"3232",3232,28,10,"RCP3PD",60,5,2300,2025,31,0.00508,0.07,0.01
"3233",3233,58,33,"RCP3PD",90,2,2500,2050,16,0.0104,0.07,0.05
"3234",3234,17,27,"RCP3PD",80,36,2300,2100,18,0.0077,0,0.04
"3235",3235,22,18,"RCP3PD",30,17,2400,2025,7,0.0026,0.06,0.08
"3236",3236,24,29,"RCP6",60,15,2500,2100,7,0.02672,0.04,0.03
"3237",3237,21,21,"RCP85",90,37,2300,2100,11,0.012,0.05,0.06
"3238",3238,48,15,"RCP6",40,2,2600,2050,12,0.00896,0.01,0.09
"3239",3239,50,22,"RCP3PD",10,1,2400,2075,16,0.00333,0.07,0.01
"3240",3240,34,37,"RCP85",40,36,2300,2100,23,0.00348,0.01,0.01
"3241",3241,44,19,"RCP3PD",100,14,2300,2025,29,0.00657,0.06,0.02
"3242",3242,33,27,"RCP3PD",20,36,2400,2050,16,0.02736,0.06,0.01
"3243",3243,24,25,"RCP85",10,11,2300,2025,13,0.01235,0.02,0.07
"3244",3244,14,17,"RCP6",60,18,2400,2075,25,0.00591,0.07,0.09
"3245",3245,22,11,"RCP3PD",80,2,2600,2075,12,0.00764,0.06,0
"3246",3246,23,15,"RCP3PD",80,23,2500,2100,11,0.00437,0.07,0.03
"3247",3247,24,29,"RCP85",10,15,2300,2100,37,0.00434,0.03,0.01
"3248",3248,38,17,"RCP45",10,18,2500,2100,26,0.00956,0.02,0.04
"3249",3249,32,7,"RCP85",30,39,2300,2075,10,0.00807,0,0.01
"3250",3250,22,16,"RCP45",10,4,2500,2100,12,0.00843,0.02,0.01
"3251",3251,23,26,"RCP6",90,9,2600,2025,14,0.00163,0.02,0.04
"3252",3252,162,16,"RCP85",20,24,2400,2025,23,0.00585,0.02,0.08
"3253",3253,34,19,"RCP85",10,14,2600,2100,12,0.00957,0.04,0.09
"3254",3254,24,22,"RCP6",10,6,2300,2075,16,0.00428,0,0.07
"3255",3255,17,10,"RCP45",100,27,2500,2025,22,0.00636,0.07,0.03
"3256",3256,26,12,"RCP85",90,22,2600,2050,22,0.00245,0.07,0.08
"3257",3257,31,24,"RCP45",2,14,2400,2050,9,0.00705,0,0.1
"3258",3258,29,36,"RCP6",40,32,2600,2100,14,0.01263,0.02,0.02
"3259",3259,24,22,"RCP85",60,4,2400,2025,32,0.00309,0.06,0.09
"3260",3260,13,24,"RCP3PD",2,40,2400,2050,17,0.00597,0.01,0.04
"3261",3261,25,19,"RCP85",20,3,2300,2050,15,0.02218,0.07,0.06
"3262",3262,64,13,"RCP6",70,3,2300,2050,28,0.00546,0.01,0
"3263",3263,34,26,"RCP6",60,40,2300,2025,19,0.00456,0.07,0.06
"3264",3264,47,13,"RCP6",60,3,2500,2025,13,0.0069,0.05,0.05
"3265",3265,41,40,"RCP3PD",70,26,2500,2075,17,0.01269,0.01,0
"3266",3266,22,12,"RCP3PD",20,13,2400,2075,21,0.00566,0.01,0.05
"3267",3267,56,27,"RCP45",30,15,2500,2100,16,0.00438,0.03,0.06
"3268",3268,11,19,"RCP85",100,4,2500,2100,36,0.00286,0,0.02
"3269",3269,10,18,"RCP45",10,31,2400,2100,28,0.00561,0,0.09
"3270",3270,11,21,"RCP85",50,34,2300,2025,12,0.00653,0.07,0.04
"3271",3271,15,19,"RCP3PD",40,11,2400,2075,8,0.00552,0.01,0.03
"3272",3272,19,35,"RCP6",50,24,2400,2025,16,0.00828,0.05,0.05
"3273",3273,39,17,"RCP45",40,33,2400,2050,15,0.00867,0,0.07
"3274",3274,15,19,"RCP45",20,9,2300,2100,10,0.00901,0.06,0.01
"3275",3275,33,39,"RCP85",100,13,2500,2075,13,0.00159,0.05,0.06
"3276",3276,57,13,"RCP6",50,4,2400,2100,11,0.01147,0.06,0.02
"3277",3277,65,37,"RCP6",90,2,2400,2025,13,0.00324,0.07,0
"3278",3278,35,25,"RCP6",100,12,2300,2100,16,0.00122,0,0.06
"3279",3279,30,24,"RCP45",2,10,2400,2075,9,0.02498,0.07,0.04
"3280",3280,29,18,"RCP6",20,17,2500,2025,8,0.00333,0.01,0.02
"3281",3281,20,32,"RCP3PD",90,10,2300,2025,13,0.01469,0.03,0.05
"3282",3282,13,22,"RCP6",50,3,2500,2100,29,0.00776,0.03,0.1
"3283",3283,31,16,"RCP3PD",20,28,2600,2025,19,0.00507,0.07,0.02
"3284",3284,40,36,"RCP6",90,31,2300,2025,29,0.00613,0.06,0.02
"3285",3285,16,22,"RCP6",50,38,2400,2050,19,0.00895,0.03,0
"3286",3286,34,23,"RCP6",10,30,2500,2050,7,0.01316,0.01,0.01
"3287",3287,18,33,"RCP45",60,3,2400,2075,20,0.00588,0.01,0.09
"3288",3288,10,26,"RCP6",100,15,2500,2050,19,0.00416,0.07,0.07
"3289",3289,11,17,"RCP45",20,31,2500,2075,21,0.00752,0.07,0.08
"3290",3290,64,20,"RCP3PD",50,8,2300,2075,24,0.00947,0.06,0.1
"3291",3291,42,8,"RCP85",100,15,2400,2050,9,0.00325,0.05,0.05
"3292",3292,26,26,"RCP3PD",70,5,2400,2050,17,0.00975,0.04,0
"3293",3293,32,27,"RCP85",2,14,2500,2100,10,0.00437,0.05,0.07
"3294",3294,16,16,"RCP3PD",60,30,2500,2050,12,0.00245,0.06,0.01
"3295",3295,22,26,"RCP3PD",40,23,2400,2075,7,0.01537,0.01,0.06
"3296",3296,19,12,"RCP85",80,17,2300,2025,20,0.00814,0.03,0.09
"3297",3297,11,15,"RCP6",100,35,2300,2100,13,0.04681,0.02,0.07
"3298",3298,41,20,"RCP3PD",50,7,2500,2025,10,0.0057,0,0
"3299",3299,26,23,"RCP85",50,13,2500,2100,19,0.00758,0.02,0.01
"3300",3300,20,31,"RCP85",60,38,2600,2100,7,0.00738,0.01,0
"3301",3301,45,17,"RCP45",20,28,2300,2075,8,0.00327,0.03,0.09
"3302",3302,20,25,"RCP85",90,16,2300,2075,16,0.00444,0.02,0.08
"3303",3303,17,12,"RCP85",90,22,2500,2100,10,0.00371,0.03,0.06
"3304",3304,61,26,"RCP3PD",100,25,2600,2025,19,0.004,0.04,0.1
"3305",3305,41,30,"RCP45",100,37,2500,2050,11,0.00405,0.07,0.04
"3306",3306,18,16,"RCP3PD",20,17,2500,2075,9,0.00659,0.06,0.1
"3307",3307,60,21,"RCP85",80,23,2600,2025,12,0.00375,0.04,0.07
"3308",3308,32,36,"RCP6",20,8,2300,2050,9,0.00183,0.06,0.04
"3309",3309,23,19,"RCP45",2,28,2400,2100,9,0.00469,0.06,0.08
"3310",3310,23,22,"RCP3PD",90,34,2300,2075,18,0.00191,0.04,0.06
"3311",3311,39,21,"RCP45",2,20,2300,2100,30,0.00648,0.05,0.08
"3312",3312,32,13,"RCP45",50,39,2300,2050,17,0.00121,0.02,0
"3313",3313,25,21,"RCP3PD",70,14,2400,2100,17,0.00918,0.07,0
"3314",3314,26,17,"RCP6",2,2,2300,2025,15,0.00691,0.04,0
"3315",3315,45,20,"RCP3PD",60,37,2300,2100,9,0.00311,0.04,0.08
"3316",3316,34,15,"RCP6",10,15,2600,2050,10,0.00572,0.04,0.09
"3317",3317,20,6,"RCP85",90,1,2300,2075,10,0.01025,0.03,0.02
"3318",3318,25,16,"RCP45",10,14,2300,2050,25,0.00481,0.01,0.03
"3319",3319,51,26,"RCP45",40,25,2300,2100,12,0.01036,0.01,0
"3320",3320,45,14,"RCP6",50,6,2400,2100,10,0.00529,0.07,0.06
"3321",3321,34,19,"RCP6",70,35,2500,2025,12,0.00483,0.03,0.09
"3322",3322,37,12,"RCP45",60,10,2300,2050,26,0.00512,0,0.04
"3323",3323,27,20,"RCP85",20,13,2600,2075,12,0.00648,0.03,0.05
"3324",3324,23,9,"RCP3PD",90,39,2600,2025,27,0.0061,0.04,0.06
"3325",3325,20,16,"RCP45",2,1,2300,2050,15,0.00569,0.03,0.06
"3326",3326,24,21,"RCP3PD",60,1,2400,2025,11,0.00671,0.07,0.03
"3327",3327,32,15,"RCP6",40,24,2300,2100,29,0.00634,0.05,0.08
"3328",3328,34,12,"RCP85",100,34,2500,2025,13,0.00743,0.02,0.02
"3329",3329,54,22,"RCP45",90,39,2500,2100,9,0.00696,0.02,0.06
"3330",3330,29,9,"RCP85",20,19,2500,2075,16,0.00794,0.04,0.06
"3331",3331,15,16,"RCP3PD",80,36,2300,2050,22,0.00138,0.04,0.1
"3332",3332,44,19,"RCP3PD",10,11,2500,2050,10,0.00845,0.03,0.02
"3333",3333,21,25,"RCP85",80,9,2300,2050,13,0.00674,0.01,0.08
"3334",3334,34,12,"RCP3PD",30,25,2600,2100,32,0.00184,0.05,0.01
"3335",3335,53,13,"RCP3PD",100,34,2500,2025,16,0.0027,0.04,0.07
"3336",3336,39,14,"RCP85",80,26,2600,2050,9,0.00138,0.06,0.05
"3337",3337,20,23,"RCP45",60,1,2300,2050,19,0.00651,0.07,0
"3338",3338,34,14,"RCP85",70,22,2400,2025,16,0.01058,0.05,0.06
"3339",3339,26,36,"RCP85",2,10,2300,2100,6,0.00498,0.01,0.09
"3340",3340,51,16,"RCP3PD",60,13,2400,2050,12,0.00392,0.03,0
"3341",3341,56,21,"RCP45",70,19,2300,2050,27,0.00888,0.03,0.06
"3342",3342,27,14,"RCP45",50,28,2300,2025,23,0.00538,0.05,0.06
"3343",3343,27,23,"RCP3PD",90,38,2300,2050,36,0.00139,0.07,0.06
"3344",3344,55,21,"RCP6",60,34,2400,2075,22,0.0043,0.01,0
"3345",3345,14,29,"RCP6",2,27,2400,2075,7,0.00224,0.06,0.1
"3346",3346,10,14,"RCP3PD",80,22,2300,2100,14,0.01073,0,0.02
"3347",3347,43,13,"RCP3PD",20,33,2500,2050,24,0.00512,0.01,0.02
"3348",3348,16,17,"RCP45",30,30,2600,2050,11,0.01387,0.06,0.1
"3349",3349,23,16,"RCP6",60,39,2300,2100,24,0.01448,0.03,0.04
"3350",3350,45,29,"RCP6",60,13,2300,2100,27,0.00226,0.06,0.08
"3351",3351,9,11,"RCP6",20,0,2300,2050,10,0.00386,0.06,0.08
"3352",3352,22,15,"RCP6",10,37,2400,2050,12,0.01024,0.07,0.05
"3353",3353,18,11,"RCP6",90,34,2300,2050,10,0.00859,0.03,0.09
"3354",3354,45,26,"RCP3PD",70,12,2600,2050,16,0.00617,0.06,0.05
"3355",3355,27,14,"RCP3PD",50,2,2500,2075,12,0.00771,0.05,0.08
"3356",3356,18,44,"RCP45",50,19,2300,2075,12,0.00321,0.04,0.08
"3357",3357,39,11,"RCP85",30,25,2500,2050,19,0.00151,0.07,0.01
"3358",3358,32,14,"RCP45",70,1,2600,2050,17,0.00744,0,0.06
"3359",3359,24,25,"RCP85",50,3,2600,2025,27,0.00459,0.05,0.03
"3360",3360,61,27,"RCP45",30,29,2600,2025,12,0.0063,0.04,0.09
"3361",3361,50,17,"RCP3PD",20,39,2600,2050,15,0.00386,0,0.06
"3362",3362,54,22,"RCP3PD",100,13,2600,2075,13,0.0045,0.05,0.04
"3363",3363,17,19,"RCP45",70,28,2600,2075,7,0.0077,0.01,0.03
"3364",3364,54,22,"RCP85",10,39,2400,2100,22,0.00805,0.03,0.1
"3365",3365,60,11,"RCP45",30,7,2600,2025,12,0.00253,0.02,0.03
"3366",3366,22,21,"RCP45",40,5,2500,2100,10,0.01003,0.03,0.04
"3367",3367,22,14,"RCP85",2,12,2300,2100,11,0.01203,0.02,0.04
"3368",3368,13,33,"RCP45",50,31,2500,2075,21,0.00316,0,0.04
"3369",3369,36,8,"RCP6",2,30,2300,2025,13,0.01504,0.05,0.06
"3370",3370,34,20,"RCP3PD",2,0,2600,2100,21,0.00241,0.07,0.01
"3371",3371,46,29,"RCP45",10,23,2500,2075,25,0.01023,0.03,0.03
"3372",3372,36,20,"RCP6",10,0,2400,2100,18,0.01521,0,0.06
"3373",3373,33,12,"RCP45",50,12,2500,2075,36,0.00911,0.03,0.07
"3374",3374,42,9,"RCP3PD",60,25,2500,2075,18,0.00262,0.07,0.05
"3375",3375,48,13,"RCP45",40,23,2400,2025,20,0.0083,0.07,0.06
"3376",3376,30,19,"RCP45",60,38,2300,2075,11,0.01368,0.03,0.1
"3377",3377,31,11,"RCP6",20,24,2300,2100,21,0.00244,0.07,0.03
